filename,label,wav_duration,file_path,folder,idx
195_1308140095331_D.wav,Bunlabelledtest,4.047,../datasets/challenge2/set_b/Bunlabelledtest__195_1308140095331_D.wav,b,124
187_1308073994223_C.wav,Bunlabelledtest,2.554,../datasets/challenge2/set_b/Bunlabelledtest__187_1308073994223_C.wav,b,116
103_1305031931979_C.wav,Bunlabelledtest,8.429,../datasets/challenge2/set_b/Bunlabelledtest__103_1305031931979_C.wav,b,4
123_1306331925797_A.wav,Bunlabelledtest,15.8945,../datasets/challenge2/set_b/Bunlabelledtest__123_1306331925797_A.wav,b,28
110_1305655332337_D.wav,Bunlabelledtest,11.078,../datasets/challenge2/set_b/Bunlabelledtest__110_1305655332337_D.wav,b,16
191_1308077299430_D.wav,Bunlabelledtest,3.07875,../datasets/challenge2/set_b/Bunlabelledtest__191_1308077299430_D.wav,b,120
159_1307018640315_A.wav,Bunlabelledtest,3.84925,../datasets/challenge2/set_b/Bunlabelledtest__159_1307018640315_A.wav,b,81
142_1306763049574_C.wav,Bunlabelledtest,11.804,../datasets/challenge2/set_b/Bunlabelledtest__142_1306763049574_C.wav,b,53
243_1309197760898_D.wav,Bunlabelledtest,15.344,../datasets/challenge2/set_b/Bunlabelledtest__243_1309197760898_D.wav,b,160
287_1311170903290_D.wav,Bunlabelledtest,3.994,../datasets/challenge2/set_b/Bunlabelledtest__287_1311170903290_D.wav,b,184
237_1308750231222_C1.wav,Bunlabelledtest,2.457,../datasets/challenge2/set_b/Bunlabelledtest__237_1308750231222_C1.wav,b,155
294_1311681084248_D.wav,Bunlabelledtest,3.183,../datasets/challenge2/set_b/Bunlabelledtest__294_1311681084248_D.wav,b,189
161_1307101199321_D.wav,Bunlabelledtest,4.77275,../datasets/challenge2/set_b/Bunlabelledtest__161_1307101199321_D.wav,b,85
113_1306244002866_C.wav,Bunlabelledtest,5.382,../datasets/challenge2/set_b/Bunlabelledtest__113_1306244002866_C.wav,b,18
154_1306935608852_A.wav,Bunlabelledtest,2.11025,../datasets/challenge2/set_b/Bunlabelledtest__154_1306935608852_A.wav,b,71
159_1307018640315_C.wav,Bunlabelledtest,1.95475,../datasets/challenge2/set_b/Bunlabelledtest__159_1307018640315_C.wav,b,83
203_1308162026258_C.wav,Bunlabelledtest,3.52125,../datasets/challenge2/set_b/Bunlabelledtest__203_1308162026258_C.wav,b,130
118_1306262335509_C2.wav,Bunlabelledtest,3.74875,../datasets/challenge2/set_b/Bunlabelledtest__118_1306262335509_C2.wav,b,24
163_1307104470471_D.wav,Bunlabelledtest,2.602,../datasets/challenge2/set_b/Bunlabelledtest__163_1307104470471_D.wav,b,89
220_1308250132896_A.wav,Bunlabelledtest,1.97725,../datasets/challenge2/set_b/Bunlabelledtest__220_1308250132896_A.wav,b,145
145_1307987561278_D.wav,Bunlabelledtest,9.63075,../datasets/challenge2/set_b/Bunlabelledtest__145_1307987561278_D.wav,b,57
136_1306429977501_D.wav,Bunlabelledtest,2.76575,../datasets/challenge2/set_b/Bunlabelledtest__136_1306429977501_D.wav,b,44
103_1305031931979_A.wav,Bunlabelledtest,7.22475,../datasets/challenge2/set_b/Bunlabelledtest__103_1305031931979_A.wav,b,3
245_1309200438094_C.wav,Bunlabelledtest,1.3,../datasets/challenge2/set_b/Bunlabelledtest__245_1309200438094_C.wav,b,162
128_1306344005749_C.wav,Bunlabelledtest,11.3875,../datasets/challenge2/set_b/Bunlabelledtest__128_1306344005749_C.wav,b,34
159_1307018640315_B.wav,Bunlabelledtest,2.018,../datasets/challenge2/set_b/Bunlabelledtest__159_1307018640315_B.wav,b,82
210_1308162935880_D.wav,Bunlabelledtest,2.9545,../datasets/challenge2/set_b/Bunlabelledtest__210_1308162935880_D.wav,b,136
232_1308748524018_D.wav,Bunlabelledtest,1.44075,../datasets/challenge2/set_b/Bunlabelledtest__232_1308748524018_D.wav,b,152
193_1308078104592_D.wav,Bunlabelledtest,22.7995,../datasets/challenge2/set_b/Bunlabelledtest__193_1308078104592_D.wav,b,122
202_1308145175747_B.wav,Bunlabelledtest,4.0455,../datasets/challenge2/set_b/Bunlabelledtest__202_1308145175747_B.wav,b,129
134_1306428161797_B.wav,Bunlabelledtest,5.795,../datasets/challenge2/set_b/Bunlabelledtest__134_1306428161797_B.wav,b,41
282_1311166081161_D.wav,Bunlabelledtest,2.18,../datasets/challenge2/set_b/Bunlabelledtest__282_1311166081161_D.wav,b,181
154_1306935608852_D.wav,Bunlabelledtest,4.76475,../datasets/challenge2/set_b/Bunlabelledtest__154_1306935608852_D.wav,b,73
