filename,label,wav_duration,file_path,folder,idx
201108222228.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222228.wav,a,45
201106031556.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106031556.wav,a,25
201106061215.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106061215.wav,a,28
201012172010.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201012172010.wav,a,2
201108011117.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011117.wav,a,42
201101091156.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101091156.wav,a,5
201108011116.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011116.wav,a,41
201101152256.wav,Aunlabelledtest,7.861201814058957,../datasets/challenge2/set_a/Aunlabelledtest__201101152256.wav,a,7
201106100606.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106100606.wav,a,29
201108011113.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011113.wav,a,40
201108011111.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011111.wav,a,39
201101110659.wav,Aunlabelledtest,7.571020408163266,../datasets/challenge2/set_a/Aunlabelledtest__201101110659.wav,a,6
20110501548.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__20110501548.wav,a,1
201101051105.wav,Aunlabelledtest,7.8859410430839,../datasets/challenge2/set_a/Aunlabelledtest__201101051105.wav,a,3
201106111419.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106111419.wav,a,30
201101241434.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101241434.wav,a,9
201104012144.wav,Aunlabelledtest,5.711519274376418,../datasets/challenge2/set_a/Aunlabelledtest__201104012144.wav,a,20
201106191034.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106191034.wav,a,36
201106030607.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106030607.wav,a,24
201106061104.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106061104.wav,a,27
201106040930.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106040930.wav,a,26
201108222257.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222257.wav,a,51
201108222241.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222241.wav,a,47
201102081045.wav,Aunlabelledtest,8.615600907029478,../datasets/challenge2/set_a/Aunlabelledtest__201102081045.wav,a,11
201105011546.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201105011546.wav,a,21
201108222254.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222254.wav,a,50
201108222244.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222244.wav,a,48
201105031730.wav,Aunlabelledtest,7.587732426303855,../datasets/challenge2/set_a/Aunlabelledtest__201105031730.wav,a,22
201103201314.wav,Aunlabelledtest,1.754875283446712,../datasets/challenge2/set_a/Aunlabelledtest__201103201314.wav,a,17
201103232251.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103232251.wav,a,18
201102200848.wav,Aunlabelledtest,7.9721541950113375,../datasets/challenge2/set_a/Aunlabelledtest__201102200848.wav,a,12
201101220549.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101220549.wav,a,8
